Location_ID,Business_Account_Number,Ownership_Name,DBA Name,Street_Address,City,State,Zip_Code,Business_Start_Date,Location Start Date,Mail_Address,Mail_City_State_Zip,Class Code,PBC Code
0063205-01-001,63205,HARMAN ROLANDO INC,KENTUCKY FRIED CHICKEN,1150 TARAVAL ST,San Francisco,CA,94116,04/08/1971 12:00:00 AM,04/08/1971 12:00:00 AM,5544 SO GREEN ST,MURRAY UT 84123-5798,8,5800
0063468-01-001,63468,BAROUS INC,FLEUR DE LYS,777 SUTTER ST,San Francisco,CA,94109,10/03/1970 12:00:00 AM,10/04/1970 12:00:00 AM,777 SUTTER ST,SAN FRANCISCO CA 94109-6416,8,5800
0064317-07-001,64317,MONTARELLO FRANCO,LITTLE JOES BABY JOES,1106 MARKET ST,San Francisco,CA,94102,06/01/2011 12:00:00 AM,06/01/2011 12:00:00 AM,1106 MARKET ST,SAN FRANCISCO CA 94102-3804,8,3079
0068466-01-001,68466,CATHAY RESTAURANT OF CA INC,CATHAY HOUSE,718 CALIFORNIA ST,San Francisco,CA,94108,04/17/1971 12:00:00 AM,04/17/1971 12:00:00 AM,718 CALIFORNIA ST,SAN FRANCISCO CA 94108-2404,8,5800
0069119-01-001,69119,MARKS PACIFIC CORP,SUTTER STATION TAVERN,554 MARKET ST,San Francisco,CA,94104,07/01/1971 12:00:00 AM,07/01/1971 12:00:00 AM,554 MARKET ST,SAN FRANCISCO CA 94104-5401,8,5800
0069349-01-001,69349,OLYMPIC CLUB THE,OLYMPIC CLUB THE,524 POST ST,San Francisco,CA,94102,01/01/1971 12:00:00 AM,01/01/1971 12:00:00 AM,524 POST ST,SAN FRANCISCO CA 94102-1229,8,5800
0069349-02-001,69349,OLYMPIC CLUB THE,OLYMPIC CLUB CAFE THE,524 POST ST,San Francisco,CA,94102,01/01/1971 12:00:00 AM,07/01/2006 12:00:00 AM,524 POST ST,SAN FRANCISCO CA 94102-1229,8,5800
0072249-01-001,72249,FANNOUN ANTOINE & JUDITH,TONY'S CABLE CAR RESTAURANT,2500 GEARY BLVD,San Francisco,CA,94115,08/01/1972 12:00:00 AM,08/01/1972 12:00:00 AM,2500 GEARY BL,SAN FRANCISCO CA 94115-3318,8,5812
0074516-01-001,74516,AZALA ENTERPRISES INC,GEARY CLUB,768 GEARY ST,San Francisco,CA,94109,01/01/1973 12:00:00 AM,01/01/1973 12:00:00 AM,768 GEARY ST,SAN FRANCISCO CA 94109-7302,8,5800
0075434-01-001,75434,21 TAYLOR INC,21 TAYLOR CLUB,98 TURK ST,San Francisco,CA,94102,01/01/1972 12:00:00 AM,01/01/1972 12:00:00 AM,98 TURK ST,SAN FRANCISCO CA 94102-2808,8,5800
